Date,Site ID,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,STATE_CODE,STATE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,POC
01/01/2014,170310001,10.9,ug/m3 LC,45,VILLAGE GARAGE,17,Illinois,Cook,41.6709919,-87.7324569,1
01/01/2014,170310057,8.4,ug/m3 LC,35,SPRINGFIELD PUMP STATION,17,Illinois,Cook,41.912739,-87.722673,1
01/01/2014,170310076,6.1,ug/m3 LC,25,COM ED MAINTENANCE BLDG,17,Illinois,Cook,41.75139998,-87.71348815,1
01/01/2014,170314201,7.6,ug/m3 LC,32,NORTHBROOK WATER PLANT,17,Illinois,Cook,42.13999619,-87.79922692,1
01/01/2014,170316005,8.3,ug/m3 LC,35,LIBERTY SCHOOL,17,Illinois,Cook,41.86442642,-87.74890238,1
02/01/2014,170310001,6.2,ug/m3 LC,26,VILLAGE GARAGE,17,Illinois,Cook,41.6709919,-87.7324569,1
02/01/2014,170310057,5.6,ug/m3 LC,23,SPRINGFIELD PUMP STATION,17,Illinois,Cook,41.912739,-87.722673,1
02/01/2014,170310076,2,ug/m3 LC,8,COM ED MAINTENANCE BLDG,17,Illinois,Cook,41.75139998,-87.71348815,1
02/01/2014,170314201,3.5,ug/m3 LC,15,NORTHBROOK WATER PLANT,17,Illinois,Cook,42.13999619,-87.79922692,1
02/01/2014,170314201,4.7,ug/m3 LC,20,NORTHBROOK WATER PLANT,17,Illinois,Cook,42.13999619,-87.79922692,1
02/01/2014,170316005,6.5,ug/m3 LC,27,LIBERTY SCHOOL,17,Illinois,Cook,41.86442642,-87.74890238,1
03/01/2014,170310001,7.2,ug/m3 LC,30,VILLAGE GARAGE,17,Illinois,Cook,41.6709919,-87.7324569,1
03/01/2014,170310057,8.2,ug/m3 LC,34,SPRINGFIELD PUMP STATION,17,Illinois,Cook,41.912739,-87.722673,1
03/01/2014,170310076,7,ug/m3 LC,29,COM ED MAINTENANCE BLDG,17,Illinois,Cook,41.75139998,-87.71348815,1
03/01/2014,170314201,10.9,ug/m3 LC,45,NORTHBROOK WATER PLANT,17,Illinois,Cook,42.13999619,-87.79922692,1
03/01/2014,170316005,10.4,ug/m3 LC,43,LIBERTY SCHOOL,17,Illinois,Cook,41.86442642,-87.74890238,1
04/01/2014,170310001,8.9,ug/m3 LC,37,VILLAGE GARAGE,17,Illinois,Cook,41.6709919,-87.7324569,1
